uf,week,date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
CE,27,2026-04-05,733,213.95000000000002,268,339,479.75,1162,1830.3000000000004,2657.3499999999995,3648.349999999998
CE,28,2026-04-12,808,230.95000000000002,295,370,533,1250.5,2014.5000000000007,2705.949999999998,3721.249999999999
CE,29,2026-04-19,852.5,271,326.90000000000003,401.70000000000005,572.75,1341.25,2133.600000000001,3162.4999999999995,4343.499999999997
CE,30,2026-04-26,895,254.97500000000002,313.95,403.70000000000005,592,1369.5,2194.4000000000033,2965.699999999999,4137.05
CE,31,2026-05-03,899,287.975,344.95,413.9,595,1424,2309.4000000000005,3457.0499999999993,4847.949999999994
CE,32,2026-05-10,901.5,281,340,415,593,1398.5,2174.3,3123.1499999999987,4305.274999999999
CE,33,2026-05-17,865,262.97499999999997,313,397.8,576,1344.25,2171.600000000001,3148.949999999999,4234.2249999999995
CE,34,2026-05-24,840.5,254.95000000000002,312,392,560.75,1299,2062.3,2766.1,3856.3999999999814
CE,35,2026-05-31,772,244,291,363.9,518.75,1201,1954.3000000000004,2674.899999999998,3403.274999999988
CE,36,2026-06-07,748.5,228,274.95000000000005,351,491.75,1135,1747.5000000000007,2374.5999999999995,3264.4499999999975
CE,37,2026-06-14,682.5,203.975,250,322,468,1104,1792.2000000000003,2462.199999999998,3296.2249999999985
CE,38,2026-06-21,647.5,201.975,239.95,294,438,1000.25,1618.3000000000004,2286.25,3158.374999999998
CE,39,2026-06-28,598.5,171.975,209.95,274.9,400.75,945.75,1540.6000000000008,2250.749999999999,2960.1499999999933
CE,40,2026-07-05,546,165.95000000000002,209.9,255,381,878.75,1422.500000000002,1924.4999999999995,2874.199999999999
CE,41,2026-07-12,508,151.975,181,236,334,794.25,1260.5000000000007,1890.05,2603.0249999999996
CE,42,2026-07-19,456,133.97500000000002,162,204,305,733.25,1271.5000000000007,1708.1999999999998,2282.749999999991
CE,43,2026-07-26,431,120.975,157,194,280.75,688.25,1153.4000000000005,1593.5499999999995,2041.5249999999971
CE,44,2026-08-02,386,109.975,133.9,174,256,613,1063,1433.1,1874.5999999999967
CE,45,2026-08-09,347.5,98.97500000000001,122.95,156,226,560,946.1000000000001,1307.2999999999997,1914.1249999999993
CE,46,2026-08-16,306,92.975,108,135,198.75,484.25,816.1000000000001,1255.3999999999996,1693.2499999999986
CE,47,2026-08-23,274,80.975,97,120,178,434,724.1000000000001,1023.05,1360.1249999999993
CE,48,2026-08-30,240,67,81,102,153.75,388,657,860.05,1204.4249999999977
CE,49,2026-09-06,206,58.975,74.95,95,134,341.5,577.4000000000005,793.1499999999999,1092.0249999999999
CE,50,2026-09-13,185,48.975,63,81,118,299.25,498,653,888.3999999999978
CE,51,2026-09-20,161,46.975,57,71,104,262.25,440.10000000000014,612,857.1499999999992
CE,52,2026-09-27,148,39,49,63,93,237.25,389,550.3999999999996,798.1249999999993
CE,53,2026-10-04,131,39.975,48.95,60,87,216,367.10000000000014,480.14999999999986,695.5999999999967
DF,1,2025-10-05,94,4,6,12,35,259,627.4000000000005,1095.2999999999997,1797.3749999999925
DF,2,2025-10-12,96,4,7,13,35,249,644.1000000000001,1098.999999999999,1861.0749999999996
DF,3,2025-10-19,104.5,4,7,13,38,269,672,1202.05,1904.374999999998
DF,4,2025-10-26,101.5,4,8,14,38,269.25,667.1000000000001,1314,2113.374999999998
DF,5,2025-11-02,115,4,8,14,39,298.25,731.1000000000001,1367.2999999999997,2359.9249999999843
DF,6,2025-11-09,118,5,9,17.900000000000006,46,315.25,815.2000000000003,1453.1499999999999,2369.2749999999987
DF,7,2025-11-16,143.5,6,10,18,51,369.25,893.3000000000004,1603.5999999999995,2699.899999999995
DF,8,2025-11-23,151.5,6,11,20,57,382.25,1018.9000000000012,1725.4499999999996,3313.0499999999943
DF,9,2025-11-30,165,6,12,21,61,468,1070,2100.6499999999996,3562.2749999999987
DF,10,2025-12-07,194,7,13,26,68,507.25,1307.5000000000007,2355.649999999997,3604.2249999999985
DF,11,2025-12-14,222.5,9,15,32,84,573,1514.2000000000003,2616.6499999999996,4625.4249999999975
DF,12,2025-12-21,246.5,10,20,37,91,675.75,1741.2000000000003,3119.9499999999994,4848.89999999999
DF,13,2025-12-28,264.5,11,20,36,98,681.5,1723.1000000000001,2884.549999999999,4966.674999999991
DF,14,2026-01-04,309.5,13,23,42,116,851.5,2026.1000000000015,3700.25,5556.0999999999995
DF,15,2026-01-11,362.5,14,25,51,130,1014,2442.600000000001,4286.749999999999,7130.199999999988
DF,16,2026-01-18,447,17.975,30,58.900000000000006,165,1237.75,3078.1000000000004,5874.149999999998,8552.399999999998
DF,17,2026-01-25,492.5,20,39,70,187.75,1367.25,3341.1000000000054,6100.5999999999985,9701.724999999991
DF,18,2026-02-01,602,24,42.95,86,226.75,1603.5,4045.2000000000035,7396.349999999995,12624.924999999983
DF,19,2026-02-08,676.5,31.975,54,96,252,1739.25,4251.600000000001,8052.099999999997,13680.67499999999
DF,20,2026-02-15,767,32.975,57.95,103,275,2025.25,5166.500000000001,8757.799999999996,15408.699999999997
DF,21,2026-02-22,748,30.975,55.95,114,280.75,2003.75,5123.4000000000005,8726.6,13711.524999999998
DF,22,2026-03-01,811,34.975,67.95,111,296.75,2160,5502.5000000000055,9819.75,17840.649999999958
DF,23,2026-03-08,801,41.975,66,120.9,286.75,2124.5,5713.2000000000035,10103.649999999998,17207.024999999983
DF,24,2026-03-15,866.5,32.975,57,109.9,305,2235,5772.100000000004,9910.349999999993,16886.54999999998
DF,25,2026-03-22,885,43,70.95,135,310.75,2286.25,5709.800000000001,9354.75,18180.949999999935
DF,26,2026-03-29,834.5,33.975,62.95,123.9,314.75,2252.5,5538.600000000007,10543.449999999999,18487.099999999966
DF,27,2026-04-05,869.5,40.975,68,128.9,310,2345.5,5593.800000000001,9500.65,15884.574999999992
DF,28,2026-04-12,838,33,64.95,119,329.75,2176.25,5485.3,9864.9,15962.399999999992
DF,29,2026-04-19,878,34,65.85000000000001,124,312.75,2405.25,6124.7000000000035,10245.699999999995,17039.424999999967
DF,30,2026-04-26,817,39,64.95,124,299.75,2333.25,5925.900000000002,10219.54999999999,16323.59999999997
DF,31,2026-05-03,834.5,36,58.95,115,309.75,2235.5,5536.400000000002,10457.09999999999,18594.849999999937
DF,32,2026-05-10,828.5,34,58,114,309.75,2236.75,5186.2,9680.299999999997,16000.424999999943
DF,33,2026-05-17,728.5,35,58,115,282,1948,4699.4000000000005,8894.2,15198.449999999986
DF,34,2026-05-24,703.5,32.975,57,105,252,1795.75,4811.800000000004,8724.749999999998,14931.67499999998
DF,35,2026-05-31,588,25,46,80.80000000000001,218,1668.25,4353.2,7140.5499999999965,11812.674999999974
DF,36,2026-06-07,541.5,25,42.95,75,195,1401,3398.1000000000004,5961.199999999999,10674.399999999992
DF,37,2026-06-14,440.5,18.975,32,60.900000000000006,161,1149,2789.100000000003,4950.149999999998,8434.32499999996
DF,38,2026-06-21,347.5,15.975000000000001,26,47.900000000000006,130,968,2580.1000000000004,4658.449999999999,7003.29999999997
DF,39,2026-06-28,275,12.975000000000001,21,42,105,738.5,1807.3000000000004,3192.8499999999995,5136.67499999998
DF,40,2026-07-05,216.5,8,14,30,80.75,565.75,1459.4000000000046,2807.3,4477.974999999995
DF,41,2026-07-12,180,8,14,26,67,473.5,1189.0000000000014,2223.0499999999993,3778.6249999999914
DF,42,2026-07-19,150,6,11,21,58,420,1070.5000000000007,1749.3999999999996,2901.0749999999834
DF,43,2026-07-26,133,6,10,18.900000000000006,48,344,907.2000000000003,1555.4499999999996,2532.2999999999984
DF,44,2026-08-02,112,5,9,16,42,285.25,735.2000000000003,1415.3999999999996,2306.574999999997
DF,45,2026-08-09,100.5,3,6,13.900000000000006,36,267,714.4000000000005,1210.3999999999996,1825.0499999999997
DF,46,2026-08-16,101,3,7,13,37,257.25,651.2000000000003,1191.1,2057.1249999999936
DF,47,2026-08-23,97,4,6.950000000000003,13,33,262.25,640.1000000000001,1073.199999999998,1781.0249999999999
DF,48,2026-08-30,91,4,7,12,36,230,609.3000000000004,1038.1499999999999,1909.4749999999974
DF,49,2026-09-06,100.5,3.9750000000000014,6,13,36,248,675.1000000000001,1110.2999999999997,1771.2249999999933
DF,50,2026-09-13,96,4,6,13,34,256,622.2000000000003,1119.3499999999997,1809.82499999999
DF,51,2026-09-20,97.5,4,7,14,35,269,659.2000000000003,1125.3499999999997,1682.0249999999999
DF,52,2026-09-27,95,3,6,12.900000000000006,35,272,625.2000000000003,1183.2499999999989,1817.0249999999999
DF,53,2026-10-04,100,3,6,14,36,262.25,623,1181.4999999999995,2111.099999999994
ES,1,2025-10-05,261.5,3,8,16,59,1188.5,6476.800000000003,18574.85,49911.5249999999
ES,2,2025-10-12,313,5,9,19,70,1351.25,8128.100000000046,24119.5,77647.84999999976
ES,3,2025-10-19,343,5,10.950000000000003,22,78,1721,9128.1,31163.4,56847.62499999939
ES,4,2025-10-26,398,7,13,27,88.75,1855.5,9521.800000000007,31150.999999999985,76787.52499999979
ES,5,2025-11-02,427.5,6,12.950000000000003,29,95,2199.25,10376.10000000001,31954.29999999998,95855.44999999969
ES,6,2025-11-09,467.5,8,17,33,114,2259.25,12490.00000000001,36632.94999999992,135160.6999999996
ES,7,2025-11-16,537,8,16,35,122,2446.5,12400.600000000028,34984.19999999995,93242.67499999987
ES,8,2025-11-23,549.5,8.975000000000001,17,40,144,2549,13416.600000000019,41788.49999999997,122568.54999999968
ES,9,2025-11-30,614,8.975000000000001,17.950000000000003,42.900000000000006,151.5,2867,16180.80000000003,51272.49999999999,184770.0749999995
ES,10,2025-12-07,695,11,21,43,152.75,3277.25,15406.400000000003,50550.049999999974,170150.3499999986
ES,11,2025-12-14,690.5,11,21,45,163.75,3277.5,15319.500000000044,53950.29999999994,154388.27499999997
ES,12,2025-12-21,700,10,19,43,166,3281.75,19010.4,48146.24999999997,132162.89999999932
ES,13,2025-12-28,632,11,21,51,171,3427.25,18169.900000000052,54610.84999999997,171327.59999999893
ES,14,2026-01-04,740.5,12,24,47,177.75,3628.25,17394.100000000028,57956.39999999994,160965.52499999967
ES,15,2026-01-11,774.5,12,25,58.900000000000006,174,3691.25,19379.700000000048,55749.34999999999,153703.29999999987
ES,16,2026-01-18,808.5,13,27,53,179.75,3788,18706.4,62496.74999999994,151728.77499999967
ES,17,2026-01-25,810.5,15,27,58.900000000000006,203,3837,20304.800000000017,64588.2,146069.4749999998
ES,18,2026-02-01,898.5,17,30,64,195.75,4232.75,22972.40000000003,63209.44999999997,187427.3999999981
ES,19,2026-02-08,873.5,14,30.950000000000003,63,198,4761.25,19645.900000000023,68238.49999999999,208564.39999999918
ES,20,2026-02-15,950,17.975,34,72,227,4585.75,23497,65347.499999999985,172084.37499999857
ES,21,2026-02-22,1051,20,39,72,254.75,5029,22473.5,70053.19999999998,260790.72499999945
ES,22,2026-03-01,1147,17,33.95,78,254,5414.25,25500.700000000004,87994.39999999998,228135.07499999987
ES,23,2026-03-08,1090,17,38.95,83.9,261,4926.75,27043.900000000023,78880.24999999993,201663.8999999979
ES,24,2026-03-15,1204,16.975,34,76.9,282,5743,26895.20000000002,73060.64999999985,196614.87499999965
ES,25,2026-03-22,1090,18.975,37,77,261,5063.5,25259.600000000028,78413.19999999998,239545.17499999914
ES,26,2026-03-29,1090,20,39.95,77,257.75,5352.25,28249.100000000046,78765.69999999994,206264.74999999965
ES,27,2026-04-05,1037,17,35,77,242.75,5190.25,25929.70000000001,85340.69999999998,277374.774999997
ES,28,2026-04-12,1024.5,16,36.95,78,250.5,5138.25,27315.600000000042,91451.54999999994,244532.87499999852
ES,29,2026-04-19,937.5,13,25.950000000000003,62.900000000000006,213,4529,20923.000000000007,68423.99999999997,220647.4499999998
ES,30,2026-04-26,880.5,15,28,59,206,4586,21731.700000000033,67124.14999999995,175030.84999999846
ES,31,2026-05-03,937,16,29,58,200,4214.5,22621.300000000017,77815.65,182099.02499999528
ES,32,2026-05-10,831.5,11,28,59.900000000000006,188,3812.75,20075.300000000003,57531.24999999997,131414.39999999938
ES,33,2026-05-17,751.5,14,24.950000000000003,52,186.5,3373.75,15764.200000000004,61880.49999999998,180052.02499999918
ES,34,2026-05-24,716,12,23,47,148,3498.25,15940.900000000012,57908.04999999988,157266.2749999999
ES,35,2026-05-31,651.5,9,21,45.900000000000006,150.75,2937,13505.70000000011,43788.94999999999,121780.19999999995
ES,36,2026-06-07,571,10,20.950000000000003,39,131,2657.25,13912.200000000037,40678.39999999998,120446.97499999942
ES,37,2026-06-14,502.5,8,15,33,116.75,2207,12181,38305.45,106055.12499999891
ES,38,2026-06-21,482.5,6,13,34,106.75,1984.25,9682.900000000018,29881.999999999993,101585.09999999938
ES,39,2026-06-28,425,6,12,26,93,2011.5,9273.7,26970.399999999976,91060.02499999903
ES,40,2026-07-05,348,8,13,25,83,1643.25,8198.800000000008,33090.64999999998,82093.37499999996
ES,41,2026-07-12,304.5,4,9.950000000000003,21,73,1515,8184.200000000007,22978.5,72295.39999999988
ES,42,2026-07-19,274,5,10,19,63,1289.5,7558.900000000006,21155.65,61457.449999999924
ES,43,2026-07-26,255,3,8,19,61,1138.25,5661.500000000002,18381.449999999983,55022.37499999994
ES,44,2026-08-02,215,3,7,15,52,1066,5322.400000000007,19042.149999999983,51964.94999999967
ES,45,2026-08-09,200.5,3,6.950000000000003,13,45,892.75,4368.100000000013,14705.499999999993,40525.749999999665
ES,46,2026-08-16,174.5,2,5,12,45,753.5,3761.900000000004,13870.399999999989,47749.49999999975
ES,47,2026-08-23,163,2,5,11,40,755.25,4073.4000000000115,14665.749999999996,43204.749999999796
ES,48,2026-08-30,155,2,5,11,38,712.25,3615.2000000000025,10644.84999999999,27320.59999999987
ES,49,2026-09-06,163.5,2,4,10,38,761.75,3646.4000000000033,13103.55,34729.199999999604
ES,50,2026-09-13,156.5,2,5,11,36,769.25,4021.600000000004,12440.599999999995,39832.24999999994
ES,51,2026-09-20,170,3,6,12,44,818.25,4041.3000000000047,12704.999999999985,37908.14999999984
ES,52,2026-09-27,205,3,6,13,45,838.5,5073.600000000002,15010.349999999999,48257.94999999998
ES,53,2026-10-04,224.5,3,7,15,49.75,969.25,5217.300000000011,16834.299999999996,45225.54999999976
GO,1,2025-10-05,637,286.95,326.95000000000005,382,487,840.25,1135.1000000000001,1377.3499999999997,1558.0499999999997
GO,2,2025-10-12,658,288.975,328.95,390,499,845,1153.1000000000001,1364,1584
GO,3,2025-10-19,675,318,353.95,413,527,897,1193.1000000000001,1417.1499999999999,1667.174999999999
GO,4,2025-10-26,729,339.875,385.95,444.79999999999995,554,959,1265.1000000000001,1512.1499999999999,1742.174999999999
GO,5,2025-11-02,781.5,362,410.90000000000003,479.9,603.75,1029,1336.1000000000001,1626,1901.349999999998
GO,6,2025-11-09,838,385.97499999999997,449.9,525,650,1103.25,1431.1000000000001,1715.05,1955.0499999999997
GO,7,2025-11-16,913,417,471.95,544.9,698,1222,1573.1000000000001,1860.1499999999999,2214.075
GO,8,2025-11-23,977.5,440.975,507.9,591,752.75,1317,1669.4000000000005,1997.2499999999998,2344.1749999999993
GO,9,2025-11-30,1050.5,489.95,555.9000000000001,637.9000000000001,824.75,1346.25,1757.800000000001,2111.1499999999996,2466.374999999998
GO,10,2025-12-07,1078,505.95,566.9,643.9,822,1430,1881,2231.2,2660.374999999998
GO,11,2025-12-14,1128.5,535,597,690,870.5,1506,1973.1000000000001,2364.1499999999996,2765.1749999999993
GO,12,2025-12-21,1311,601.8,688.95,798.8000000000001,998,1752.5,2310.1000000000004,2763.2,3277.8249999999957
GO,13,2025-12-28,1304,603.975,676.95,789.9000000000001,991.75,1754,2282.4000000000005,2766.2999999999997,3318.349999999998
GO,14,2026-01-04,1607,739.975,841.8,967.9,1229.75,2120,2752.1000000000004,3386.6999999999994,4060.2499999999986
GO,15,2026-01-11,1978.5,881.7750000000001,1016,1204,1534.25,2648,3448.1000000000004,4028.25,4538.799999999996
GO,16,2026-01-18,2408,1113.875,1248.8500000000001,1418,1825.5,3194.25,4202.4000000000005,5116.2,6146.9999999999945
GO,17,2026-01-25,2837.5,1337.875,1517.6999999999998,1735,2212.75,3720.25,4789.800000000003,5562.299999999999,6748.449999999997
GO,18,2026-02-01,3317.5,1565.825,1797.55,2037,2564,4320.75,5684.100000000002,6829.049999999999,8295.599999999997
GO,19,2026-02-08,3732,1666.975,1944.7,2263,2855.25,4851.25,6222.700000000002,7525.549999999994,9166.124999999987
GO,20,2026-02-15,4040,1917.25,2104.9,2424.7999999999997,3089.75,5208,6952.800000000001,8429.699999999999,10075.974999999968
GO,21,2026-02-22,4287.5,1974.8249999999998,2218,2590.5,3319.75,5677.5,7338.2,8791.599999999999,10242.92499999999
GO,22,2026-03-01,4526,2034.625,2389.55,2726.1000000000004,3449.5,5852,7562.0999999999995,9163.1,11257.574999999997
GO,23,2026-03-08,4703,2178.8500000000004,2495.95,2855.9,3584.5,6159.75,8003.500000000004,9821.849999999999,11752.82499999999
GO,24,2026-03-15,4721.5,2216.4249999999997,2510.9,2893.8999999999996,3614.75,6337.5,8223.2,9909.999999999998,11956.1
GO,25,2026-03-22,4818.5,2321.7000000000003,2625.65,3040.1000000000004,3683,6313.25,8346.900000000003,9899.45,12064.549999999997
GO,26,2026-03-29,4930,2344.95,2602.85,3006.8,3822.25,6511.5,8622.900000000001,10211.949999999999,12055.324999999997
GO,27,2026-04-05,5034.5,2300.6749999999997,2616.9,3017.9,3788.5,6627.75,8668.300000000001,10268.9,12041.1
GO,28,2026-04-12,4978.5,2267.8,2558.55,3021.7999999999997,3827.75,6479.75,8614.2,10389.75,12216.82499999999
GO,29,2026-04-19,4918,2279.95,2591,2972.8,3771.75,6389.5,8656.400000000001,10070.799999999997,12391.374999999993
GO,30,2026-04-26,4753.5,2209.6,2537.35,2926.7,3701.75,6373.25,8165.200000000002,9563.699999999999,11401.749999999978
GO,31,2026-05-03,4663.5,2184.8250000000003,2408.8500000000004,2793.9,3569,6082,7967.500000000001,9459.399999999996,11785.849999999995
GO,32,2026-05-10,4351,2030.975,2305.85,2639,3308.5,5638.5,7294.600000000004,8682.949999999999,10092.474999999997
GO,33,2026-05-17,3870.5,1760.7749999999999,2029,2343,2945.75,5080.5,6521.4000000000015,7842.499999999999,9119.399999999998
GO,34,2026-05-24,3339.5,1504.9499999999998,1790.95,2102,2614.5,4404,5818.500000000004,6784.3499999999995,8196.57499999998
GO,35,2026-05-31,2909.5,1399.95,1548.8000000000002,1761,2256.25,3829.5,5009.800000000003,6093.149999999999,7293.3249999999925
GO,36,2026-06-07,2507,1135.95,1272.9499999999998,1503.8,1890.5,3310.75,4276.1,5164.2,6039.074999999999
GO,37,2026-06-14,2071,959,1094.9,1257,1581.75,2710,3633.300000000002,4318.799999999999,5259.899999999995
GO,38,2026-06-21,1775.5,791.975,896,1040.9,1333,2312,3066.800000000001,3603.1000000000004,4243.9999999999945
GO,39,2026-06-28,1423,651,741.95,862,1098.75,1928.5,2555.2000000000007,3033.0999999999995,3702.1749999999993
GO,40,2026-07-05,1188,539.975,604,705.9,898,1590,2069.2000000000003,2441.4499999999994,2893.2749999999987
GO,41,2026-07-12,1005,468,526.9,598.9000000000001,756.75,1341.25,1756.700000000001,2115.749999999999,2547.0499999999993
GO,42,2026-07-19,855,390.95,449.95,518,646,1134,1462,1800.4499999999996,2128.374999999998
GO,43,2026-07-26,744,350.97499999999997,401,460,581.75,982,1327.2000000000003,1568.2499999999998,1923.1499999999992
GO,44,2026-08-02,684,308.975,354,403.9,516,910.25,1210.2000000000003,1418.4999999999995,1644.4999999999973
GO,45,2026-08-09,643.5,291.97499999999997,333,385,491,854.5,1094.2000000000003,1284.05,1476
GO,46,2026-08-16,609,278.97499999999997,315.95,373,467,804,1066,1262,1493.0249999999999
GO,47,2026-08-23,584,259.975,300,351.9,443,774.25,1024.1000000000001,1199,1413.3249999999982
GO,48,2026-08-30,580,251,292,340.9,442,760.25,973.2000000000003,1187.1499999999999,1407.2749999999985
GO,49,2026-09-06,574,268,299.95,347.9,444,769,990.2000000000003,1165.1499999999999,1423.1249999999993
GO,50,2026-09-13,579.5,275.95,309,349.9,436.75,759,1015,1198.2499999999998,1421.1249999999993
GO,51,2026-09-20,598,276.975,316,362.90000000000003,452,782.5,1029,1247.05,1470.0749999999996
GO,52,2026-09-27,603,255.975,310.95000000000005,361,457.75,807,1056.2000000000003,1258.1999999999998,1554.724999999996
GO,53,2026-10-04,616,285,328.9,377,472.75,819,1073.1000000000001,1263.1499999999999,1477.199999999999
MA,1,2025-10-05,23,4,5,7,13,39,68,96,123.04999999999973
MA,2,2025-10-12,22,4,6,8,13,38,66,90,121.02499999999986
MA,3,2025-10-19,23,3,5,8,13,39,65.10000000000014,94,130.0749999999996
MA,4,2025-10-26,23,4,6,8,14,40,68,92.09999999999991,123
MA,5,2025-11-02,24,4,5,8,14,41,66,87,118.07499999999959
MA,6,2025-11-09,25,4,6,9,14,43,72.10000000000014,93.04999999999995,124.07499999999959
MA,7,2025-11-16,26,5,6,9,15,42,68,91,130.02499999999986
MA,8,2025-11-23,25,4.975000000000001,6,9,15,43,69,95,122
MA,9,2025-11-30,24,4,6,9,15,42,67,87,115.04999999999973
MA,10,2025-12-07,27,5,7,9,16,45,74,97.04999999999995,132.0749999999996
MA,11,2025-12-14,30,6,8,11,18,51,81,106.04999999999995,146
MA,12,2025-12-21,37,8,10,14,23,64,104,133.04999999999995,174.0749999999996
MA,13,2025-12-28,38,7,9,14,22,63,99,133,164.02499999999986
MA,14,2026-01-04,52,11,14,19,30,85.25,135,183.04999999999995,237.02499999999986
MA,15,2026-01-11,69,15,20,27,42,114.25,185,251,346.0499999999997
MA,16,2026-01-18,95,21,27,36,56,156,255,363.04999999999995,491.0499999999997
MA,17,2026-01-25,124,24.975,32,43,74,208,329.10000000000014,472.14999999999986,620.0249999999999
MA,18,2026-02-01,152,32,41,57,91,248,407.10000000000014,537.05,724.174999999999
MA,19,2026-02-08,187,41,52,70,114,316,492,647.05,862.0499999999997
MA,20,2026-02-15,225,49,61.95,82,132,373.25,593,787.0999999999999,1079.0749999999996
MA,21,2026-02-22,250,59,75,98,155,406.5,649,889.1999999999998,1250.174999999999
MA,22,2026-03-01,271,62.975,81,108,165,447,726,969.05,1215.2249999999988
MA,23,2026-03-08,274,65.975,87,109,173,452,694.1000000000001,911.8999999999992,1235
MA,24,2026-03-15,283,62,82,107,170.75,448,725,983.1499999999999,1273.5999999999967
MA,25,2026-03-22,275,62.95,77.95,101,167,462,729.2000000000003,959,1286.0999999999995
MA,26,2026-03-29,267,58,80,104,163.75,416,689.3000000000004,933.5499999999995,1219.1499999999992
MA,27,2026-04-05,257.5,59.975,77,99,159,416.25,678.1000000000001,904,1206.0249999999999
MA,28,2026-04-12,248,54,72,98,152,404,636.2000000000003,875.3499999999997,1127.2499999999986
MA,29,2026-04-19,234,54,72,90,143,370.25,603,843.1499999999999,1081.199999999999
MA,30,2026-04-26,221.5,45.975,60,80.9,133,367,559.2000000000003,759.0999999999999,1068.374999999998
MA,31,2026-05-03,201,39,53,73.9,121,333,524,728.05,1010.0749999999996
MA,32,2026-05-10,176,40,50,70,108,286.25,460.2000000000003,612,853.2499999999986
MA,33,2026-05-17,157,36.975,47,61,95,255.25,421,558.05,746.1249999999993
MA,34,2026-05-24,139.5,29,41,54,87.75,227,356.2000000000003,474.04999999999995,648.4499999999975
MA,35,2026-05-31,119,27,33,45,73,196,313.10000000000014,422,533.0999999999995
MA,36,2026-06-07,104,25,31.950000000000003,41,63,169,270,352.1999999999998,452.0499999999997
MA,37,2026-06-14,87,20,26,34,54,148,231.10000000000014,306.04999999999995,419.09999999999945
MA,38,2026-06-21,77,16,21,28,46.75,126,196.10000000000014,261.04999999999995,358
MA,39,2026-06-28,66,15,19,25,39,110,165,226.04999999999995,316.09999999999945
MA,40,2026-07-05,58,12,16,21,35,94,158,215,287.0499999999997
MA,41,2026-07-12,50,11,14,19,30,85,136,184.04999999999995,250.02499999999986
MA,42,2026-07-19,46,9,12,17,28,77,124.10000000000014,169,231.14999999999918
MA,43,2026-07-26,41,8,11,15,24,68,113,160.04999999999995,209.02499999999986
MA,44,2026-08-02,37,8,10,13,22,65,115,164,217.04999999999973
MA,45,2026-08-09,35,7,9,13,21,61.25,101,136.14999999999986,191.02499999999986
MA,46,2026-08-16,34.5,6,8,11,20,59,102,134,196.04999999999973
MA,47,2026-08-23,32,5.975000000000001,7,11,19,54,90.10000000000014,132,189.02499999999986
MA,48,2026-08-30,28.5,5,7,9,16,48,87,124,176
MA,49,2026-09-06,28,5,6,9.900000000000006,16,49,81,116.04999999999995,157.02499999999986
MA,50,2026-09-13,26,4,6,8,15,45,78.10000000000014,109,155
MA,51,2026-09-20,25,4,6,8,14,42,74,106,131.02499999999986
MA,52,2026-09-27,23,4,5.950000000000003,8,14,39,68,95,132
MA,53,2026-10-04,23,4,5,7,13,41,67,89,117.02499999999986
MG,1,2025-10-05,649,214,257.95,310.90000000000003,441.75,1134,2040.2000000000003,3126.2,4789.849999999989
MG,2,2025-10-12,717,233.975,281,341.9,468.75,1200,2269.100000000004,3629.249999999998,5881.125
MG,3,2025-10-19,750,256,301,354.90000000000003,497,1251.25,2293.0000000000014,3696.3999999999987,5353.199999999988
MG,4,2025-10-26,844,274.95,323.95,383.9,537.75,1391.25,2577,4223.549999999998,6622.524999999992
MG,5,2025-11-02,901.5,306.975,354,422,580,1531.25,2837.1,4576.9999999999945,8154.9749999999785
MG,6,2025-11-09,997,345,396.95,473.9,651,1714,3060.4000000000005,5100.899999999999,7839.5499999999965
MG,7,2025-11-16,1116.5,372.975,451,542.9000000000001,732.75,1825.75,3517.400000000002,5686.35,8978.97499999999
MG,8,2025-11-23,1248,420.95,487,565.9,808,2050.75,3828.2000000000003,6300.649999999996,11652.249999999995
MG,9,2025-11-30,1402.5,489,548.95,662.8000000000001,946.5,2296.5,4424.100000000002,7045.5499999999975,11126.099999999999
MG,10,2025-12-07,1584.5,549.875,622,739.8,1037,2656.25,4811.1,8077.749999999999,12591.299999999992
MG,11,2025-12-14,1779,623,719,858.9000000000001,1188.75,2924.75,5502.700000000003,9055.149999999994,14528.274999999905
MG,12,2025-12-21,2077,751.975,882.8000000000001,1027.9,1409.75,3439,6032.700000000004,10316.199999999997,17114.774999999994
MG,13,2025-12-28,2170,725,860.9,1045.8000000000002,1417.25,3517.25,5970.800000000001,9610.199999999997,15433.924999999914
MG,14,2026-01-04,2580.5,887.975,1086.8,1297.3,1738.75,4263,8247.800000000003,13109.399999999998,17825.17499999999
MG,15,2026-01-11,3248.5,1170.95,1376.8500000000001,1607.5,2212.25,5335.25,9353.800000000001,14233.449999999993,19852.924999999974
MG,16,2026-01-18,3994.5,1433.8500000000001,1658,1964.7,2730.75,6311.75,11600.800000000008,18933.04999999998,29261.874999999996
MG,17,2026-01-25,4986,1692.9,2079.95,2476.9,3374.25,8262,14678.400000000001,23743.35,37198.37499999998
MG,18,2026-02-01,6027.5,2016.925,2398.8500000000004,2947.5,4055.75,9907.5,17455.2,28912.64999999999,44220.74999999974
MG,19,2026-02-08,7084.5,2400.8,2797.9,3482.3,4805,11559.75,21307.00000000002,30329.599999999995,47013.9999999999
MG,20,2026-02-15,8191.5,3009.6,3489.9,4096.2,5619,13098.25,23797.300000000003,35565.649999999994,60883.97499999993
MG,21,2026-02-22,8945.5,3268.45,3838.8500000000004,4500.8,6109.25,14916.75,26752,44257.19999999999,64698.07499999996
MG,22,2026-03-01,9967,3489.95,4085.65,4839.9,6609.25,16645,29179.700000000004,46448.24999999999,63935.524999999856
MG,23,2026-03-08,10679,3736.75,4298.4000000000005,5251.9,7342,17180,31700.800000000003,49937.74999999999,71493.77499999979
